id,zhuhuichang,zhanting,room1,room2,haibaoqu,A,B,C,D,qiandao,fuwu,room3,room4,room5,room6,blank,label
10001,0,0,0,0,651,0,0,0,9164,255,0,0,0,0,0,1553,3
10003,9497,992,0,0,0,0,0,0,0,313,0,0,0,0,0,1040,0
10012,12130,0,0,0,107,0,0,0,0,213,20,0,0,0,0,1348,0
10014,11004,848,0,0,0,0,0,0,0,434,22,562,0,0,0,1303,0
10015,12157,41,399,0,775,0,0,0,8770,388,0,0,0,0,0,3550,0
10018,4744,706,0,0,0,0,0,0,0,204,89,0,0,0,0,745,4
10019,10711,0,1237,3878,1004,10004,0,0,0,0,14,609,0,0,0,3305,6
10021,12195,139,0,0,0,0,0,0,0,263,0,0,0,0,0,1138,0
10022,10035,0,0,0,17,0,0,0,0,368,15,0,0,0,0,3162,0
10023,0,0,414,0,90,0,0,9300,0,263,0,0,0,0,0,1494,4
10026,10430,197,0,0,0,0,0,0,0,182,31,435,0,0,0,1831,0
10027,9961,310,0,0,0,0,0,0,0,267,152,594,0,0,0,1733,0
10037,0,0,457,0,0,0,0,0,0,232,0,0,0,20115,0,712,1
10041,0,0,547,0,0,0,0,0,0,376,160,0,0,24740,0,765,1
10045,10984,172,0,0,0,0,0,0,0,205,0,0,0,0,0,1478,0
10046,0,0,551,0,20,0,0,0,0,405,34,0,0,18086,0,1983,1
10049,7002,1019,0,0,0,0,0,0,0,298,0,0,0,0,0,970,0
10051,10377,0,0,0,455,0,0,0,0,408,7,0,0,0,0,2557,0
10053,7467,1159,0,0,0,0,0,0,0,457,0,0,0,0,0,606,0
10056,9687,1307,0,0,0,0,0,0,0,403,0,0,0,0,0,1105,0
10058,11743,0,450,0,154,0,0,8811,0,288,28,0,0,0,0,4108,2
10062,0,0,145,0,295,2937,6222,0,0,251,0,0,0,0,0,1103,4
10070,0,1166,0,0,0,0,0,0,0,282,124,0,0,0,0,2241,4
10077,11763,0,0,0,57,0,0,0,0,310,0,0,0,0,0,3502,0
10078,0,0,468,0,148,0,9542,0,0,186,0,0,0,0,0,1724,4
10080,0,0,787,0,83,0,9261,0,0,222,0,0,0,0,0,2006,4
10082,11598,266,0,0,0,0,0,0,0,219,8,505,0,0,0,1408,0
10083,8112,1702,629,0,526,0,0,0,5611,382,0,0,0,0,0,3147,0
10084,10187,138,0,0,23,0,0,0,0,353,34,387,0,0,0,2082,0
10085,10135,3757,0,0,62,0,0,0,8105,206,76,0,0,0,0,3573,0
10087,0,1702,0,0,1451,0,0,0,0,520,15,0,0,0,0,1007,4
10090,0,0,603,0,0,0,0,0,0,219,21,0,0,24021,0,1515,1
10091,0,0,0,0,594,2073,4043,0,0,302,0,0,0,0,0,1379,4
10092,0,0,0,0,719,10289,0,0,0,142,0,0,0,0,0,1049,4
10094,11590,309,0,0,464,0,0,0,0,339,0,629,0,0,0,1896,0
10097,0,1553,0,0,0,0,0,0,0,416,0,139,0,0,0,1134,4
10098,0,1026,0,0,86,10233,0,0,0,462,0,0,0,0,0,1709,4
10101,9421,223,0,0,0,0,0,0,0,371,79,564,0,0,0,1836,0
10107,12075,1501,516,0,130,0,5580,0,0,343,12,612,0,0,0,4248,5
10111,11941,0,353,7956,97,981,5665,0,0,0,0,0,0,0,0,2871,6
10115,12439,971,353,0,82,0,0,6211,3034,500,7,0,0,0,0,1935,2
10117,12212,866,696,0,365,0,0,0,9930,290,0,0,0,0,0,2516,0
10121,0,850,412,0,14,0,0,0,0,219,0,0,0,19570,0,913,1
10123,11763,176,0,0,39,0,0,0,0,251,0,0,0,0,0,1594,0
10126,0,2513,0,0,244,0,0,0,0,420,0,52,0,0,0,1626,4
10127,12898,473,541,0,450,0,0,9666,0,381,21,0,0,0,0,4229,2
10134,10657,1307,0,0,7,0,0,0,0,298,8,637,0,0,0,1316,0
10135,0,994,337,0,267,9456,0,0,0,151,0,0,0,0,0,1435,4
10136,12464,3256,414,0,486,0,0,0,6197,342,0,0,0,0,0,3794,0
10143,11518,117,0,0,0,0,0,0,0,340,9,446,0,0,0,2606,0
10145,12269,800,557,0,294,0,0,9945,0,260,16,0,0,0,0,2923,2
10146,0,2633,0,0,2126,0,0,0,0,288,0,0,0,0,0,2756,4
10148,0,1782,0,0,0,0,0,0,0,395,112,0,0,0,0,2848,4
10150,11845,328,808,0,1348,0,0,0,4292,402,0,0,0,0,0,3255,0
10151,6980,0,0,0,178,0,0,0,0,473,0,0,0,0,0,1573,0
10152,5669,4045,0,0,55,0,0,0,0,443,0,576,0,0,0,1742,0
10160,11530,358,0,0,10,0,0,0,0,469,0,0,0,0,0,2566,0
10162,12569,0,479,0,1099,0,8441,0,0,372,16,0,0,0,0,3716,5
10163,12127,0,764,0,384,1288,5759,0,0,345,8,0,0,0,0,3699,5
10164,0,0,0,0,0,0,0,0,0,33185,0,0,0,0,2702,697,8
10167,12085,0,226,0,901,0,4955,0,0,262,0,655,0,0,0,3633,5
10170,7111,419,0,0,0,0,0,0,0,465,8,0,0,0,0,1422,0
10172,11812,420,0,0,0,0,0,0,0,312,0,345,0,0,0,1948,0
10178,10528,732,0,0,17,0,0,0,0,349,14,374,0,0,0,921,0
10181,10618,0,0,581,13,0,0,0,0,0,0,0,0,0,0,1530,6
