time1,zhu1,time2,zhu2,time3,zhu3,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3
25240,0,27050,0,27070,0,0,0,0,0,0,0,0,0,0,0,0,0
25249,0,27059,0,27079,0,0,0,0,0,0,0,0,0,0,0,0,0
25256,0,27066,0,27086,0,0,0,0,0,0,0,0,0,0,0,0,0
25263,0,27070,0,27093,0,0,0,0,0,0,0,0,0,0,0,0,0
25270,0,27073,0,27100,0,0,0,0,0,0,0,0,0,0,0,0,0
25277,0,27079,0,27107,0,0,0,0,0,0,0,0,0,0,0,0,0
25284,0,27080,0,27114,0,0,0,0,0,0,0,0,0,0,0,0,0
25291,0,27086,0,27121,0,0,0,0,0,0,0,0,0,0,0,0,0
25298,0,27087,0,27128,0,0,0,0,0,0,0,0,0,0,0,0,0
25305,0,27089,0,27135,0,0,0,0,0,0,0,0,0,0,0,0,0
25312,0,27090,0,27142,0,0,0,0,0,0,0,0,0,0,0,0,0
25319,0,27093,0,27149,0,0,0,0,0,0,0,0,0,0,0,0,0
25320,0,27094,0,27200,0,0,0,0,0,0,0,0,0,0,0,0,0
25329,0,27096,0,27208,0,0,0,0,0,0,0,0,0,0,0,0,0
25336,0,27099,0,27215,0,0,0,0,0,0,0,0,0,0,0,0,0
25343,0,27100,0,27222,0,0,0,0,0,0,0,0,0,0,0,0,0
25350,0,27101,0,27229,0,0,0,0,0,0,0,0,0,0,0,0,0
25357,0,27103,0,27230,0,0,0,0,0,0,0,0,0,0,0,0,0
25364,0,27106,0,27236,0,0,0,0,0,0,0,0,0,0,0,0,0
25371,0,27108,0,27239,0,0,0,0,0,0,0,0,0,0,0,0,0
25378,0,27110,0,27243,0,0,0,0,0,0,0,0,0,0,0,0,0
25380,0,27113,0,27246,0,0,0,0,0,0,0,0,0,0,0,0,0
25385,0,27115,0,27250,0,0,0,0,0,0,0,0,0,0,0,0,0
25389,0,27116,0,27253,0,0,0,0,0,0,0,0,0,0,0,0,0
25392,0,27117,0,27257,0,0,0,0,0,0,0,0,0,0,0,0,0
25396,0,27120,0,27260,0,0,0,0,0,0,0,0,0,0,0,0,0
25399,0,27122,0,27264,0,0,0,0,0,0,0,0,0,0,0,0,0
25403,0,27124,0,27267,0,0,0,0,0,0,0,0,0,0,0,0,0
25406,0,27127,0,27274,0,0,0,0,0,0,0,0,0,0,0,0,0
25410,0,27129,0,27281,0,0,0,0,0,0,0,0,0,0,0,0,0
25417,0,27131,0,27288,0,0,0,0,0,0,0,0,0,0,0,0,0
25424,0,27132,0,27295,0,0,0,0,0,0,0,0,0,0,0,0,0
25430,0,27134,0,27302,0,0,0,0,0,0,0,0,0,0,0,0,0
25431,0,27138,0,27309,0,0,0,0,0,0,0,0,0,0,0,0,0
25438,0,27139,0,27316,0,0,0,0,0,0,0,0,0,0,0,0,0
25439,0,27141,0,27430,0,0,0,0,0,0,0,0,0,0,0,0,0
25445,0,27145,0,27439,0,0,0,0,0,0,0,0,0,0,0,0,0
